Nasdaq Traded,Symbol,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,NASDAQ Symbol,NextShares
Y,AEIS,"Advanced Energy Industries, Inc. - Common Stock",Q,Q,N,100,N,N,AEIS,N
Y,AEMD,"Aethlon Medical, Inc. - Common Stock",Q,S,N,100,N,N,AEMD,N
Y,AERI,"Aerie Pharmaceuticals, Inc. - Common Stock",Q,G,N,100,N,N,AERI,N
Y,AESE,"Allied Esports Entertainment, Inc. - Common Stock",Q,S,N,100,N,N,AESE,N
Y,AEY,"ADDvantage Technologies Group, Inc. - Common Stock",Q,G,N,100,N,N,AEY,N
Y,AEYE,"AudioEye, Inc. - Common Stock",Q,S,N,100,N,N,AEYE,N
Y,AEZS,Aeterna Zentaris Inc. - Common Stock,Q,S,N,100,N,N,AEZS,N
Y,AFH,"Atlas Financial Holdings, Inc. - Ordinary Shares",Q,S,N,100,N,H,AFH,N
Y,AFIN,"American Finance Trust, Inc. - Class A Common Stock",Q,Q,N,100,N,N,AFIN,N
Y,AFINP,"American Finance Trust, Inc. - 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock",Q,Q,N,100,N,N,AFINP,N
Y,AFMD,Affimed N.V. - Common Stock,Q,G,N,100,N,N,AFMD,N
Y,AFYA,Afya Limited - Class A Common Shares,Q,Q,N,100,N,N,AFYA,N
Y,AGBA,AGBA Acquisition Limited - Ordinary Share,Q,S,N,100,N,N,AGBA,N
Y,AGBAU,AGBA Acquisition Limited - Unit,Q,S,N,100,N,N,AGBAU,N
Y,AGEN,Agenus Inc. - Common Stock,Q,S,N,100,N,N,AGEN,N
Y,AGFS,"AgroFresh Solutions, Inc. - Common Stock",Q,Q,N,100,N,N,AGFS,N
Y,AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",Q,Q,N,100,N,N,AGIO,N
Y,AGLE,"Aeglea BioTherapeutics, Inc. - Common Stock",Q,G,N,100,N,N,AGLE,N
Y,AGMH,AGM Group Holdings Inc. - Class A Ordinary Shares,Q,S,N,100,N,D,AGMH,N
Y,AGNC,AGNC Investment Corp. - Common Stock,Q,Q,N,100,N,N,AGNC,N
Y,AGNCM,AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,Q,Q,N,100,N,N,AGNCM,N
Y,AGNCN,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock",Q,Q,N,100,N,N,AGNCN,N
Y,AGNCO,"AGNC Investment Corp. - Depositary Shares, each representing a 1/1,000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock",Q,Q,N,100,N,N,AGNCO,N
Y,AGNCP,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",Q,Q,N,100,N,N,AGNCP,N
Y,AGND,WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund,Q,G,Y,100,N,N,AGND,N
Y,AGRX,"Agile Therapeutics, Inc. - Common Stock",Q,S,N,100,N,N,AGRX,N
Y,AGTC,Applied Genetic Technologies Corporation - Common Stock,Q,G,N,100,N,N,AGTC,N
Y,AGYS,"Agilysys, Inc. - Common Stock",Q,Q,N,100,N,N,AGYS,N
Y,AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,Q,G,Y,100,N,N,AGZD,N
Y,AHCO,AdaptHealth Corp.  - Class A Common Stock,Q,S,N,100,N,N,AHCO,N
Y,AHPI,"Allied Healthcare Products, Inc. - Common Stock",Q,S,N,100,N,N,AHPI,N
Y,AIA,iShares Asia 50 ETF,Q,G,Y,100,N,N,AIA,N
Y,AIH,Aesthetic Medical International Holdings Group Ltd. - American Depositary Shares,Q,G,N,100,N,N,AIH,N
Y,AIHS,Senmiao Technology Limited - Common Stock,Q,S,N,100,N,D,AIHS,N
Y,AIKI,AIkido Pharma Inc. - Common Stock,Q,S,N,100,N,N,AIKI,N
Y,AIMC,Altra Industrial Motion Corp. - Common Stock,Q,Q,N,100,N,N,AIMC,N
Y,AIMT,"Aimmune Therapeutics, Inc. - Common Stock",Q,Q,N,100,N,N,AIMT,N
Y,AINV,Apollo Investment Corporation - Closed End Fund,Q,Q,N,100,N,N,AINV,N
Y,AIQ,Global X Future Analytics Tech ETF,Q,G,Y,100,N,N,AIQ,N
Y,AIRG,"Airgain, Inc. - Common Stock",Q,S,N,100,N,N,AIRG,N
Y,AIRR,First Trust RBA American Industrial Renaissance ETF,Q,G,Y,100,N,N,AIRR,N
Y,AIRT,"Air T, Inc. - Common Stock",Q,G,N,100,N,N,AIRT,N
Y,AIRTP,"Air T, Inc. - Trust Preferred Securities",Q,G,N,100,N,N,AIRTP,N
Y,AKAM,"Akamai Technologies, Inc. - Common Stock",Q,Q,N,100,N,N,AKAM,N
Y,AKBA,"Akebia Therapeutics, Inc. - Common Stock",Q,G,N,100,N,N,AKBA,N
Y,AKCA,"Akcea Therapeutics, Inc. - Common Stock",Q,Q,N,100,N,N,AKCA,N
Y,AKER,Akers Biosciences Inc. - Common Stock,Q,S,N,100,N,N,AKER,N
Y,AKRO,"Akero Therapeutics, Inc. - Common Stock",Q,Q,N,100,N,N,AKRO,N
Y,AKRX,"Akorn, Inc. - Common Stock",Q,Q,N,100,N,N,AKRX,N
Y,AKTS,"Akoustis Technologies, Inc. - Common Stock",Q,S,N,100,N,N,AKTS,N
Y,AKTX,Akari Therapeutics Plc - American Depositary Shares,Q,S,N,100,N,N,AKTX,N
Y,ALAC,Alberton Acquisition Corporation - Ordinary Shares,Q,S,N,100,N,N,ALAC,N
Y,ALACR,Alberton Acquisition Corporation - Rights,Q,S,N,100,N,N,ALACR,N
Y,ALACU,Alberton Acquisition Corporation - Unit,Q,S,N,100,N,N,ALACU,N
Y,ALBO,"Albireo Pharma, Inc. - Common Stock",Q,S,N,100,N,N,ALBO,N
Y,ALCO,"Alico, Inc. - Common Stock",Q,Q,N,100,N,N,ALCO,N
Y,ALDX,"Aldeyra Therapeutics, Inc. - Common Stock",Q,S,N,100,N,N,ALDX,N
Y,ALEC,"Alector, Inc. - Common Stock",Q,Q,N,100,N,N,ALEC,N
Y,ALGN,"Align Technology, Inc. - Common Stock",Q,Q,N,100,N,N,ALGN,N
Y,ALGR,Allegro Merger Corp. - Common Stock,Q,S,N,100,N,D,ALGR,N
Y,ALGRU,Allegro Merger Corp. - Unit,Q,S,N,100,N,D,ALGRU,N
Y,ALGT,Allegiant Travel Company - Common Stock,Q,Q,N,100,N,N,ALGT,N
Y,ALIM,"Alimera Sciences, Inc. - Common Stock",Q,G,N,100,N,N,ALIM,N
Y,ALJJ,"ALJ Regional Holdings, Inc. - Common Stock",Q,G,N,100,N,N,ALJJ,N
Y,ALKS,Alkermes plc - Ordinary Shares,Q,Q,N,100,N,N,ALKS,N
Y,ALLK,Allakos Inc. - Common Stock,Q,Q,N,100,N,N,ALLK,N
Y,ALLO,"Allogene Therapeutics, Inc. - Common Stock",Q,Q,N,100,N,N,ALLO,N
Y,ALLT,Allot Ltd. - Ordinary Shares,Q,Q,N,100,N,N,ALLT,N
Y,ALNA,"Allena Pharmaceuticals, Inc. - Common Stock",Q,Q,N,100,N,N,ALNA,N
Y,ALNY,"Alnylam Pharmaceuticals, Inc. - Common Stock",Q,Q,N,100,N,N,ALNY,N
Y,ALOT,"AstroNova, Inc. - Common Stock",Q,G,N,100,N,N,ALOT,N
Y,ALPN,"Alpine Immune Sciences, Inc. - Common Stock",Q,G,N,100,N,N,ALPN,N
Y,ALRM,"Alarm.com Holdings, Inc. - Common Stock",Q,Q,N,100,N,N,ALRM,N
Y,ALRN,"Aileron Therapeutics, Inc. - Common Stock",Q,S,N,100,N,D,ALRN,N
Y,ALRS,Alerus Financial Corporation - Common Stock,Q,S,N,100,N,N,ALRS,N
Y,ALSK,"Alaska Communications Systems Group, Inc. - Common Stock",Q,Q,N,100,N,N,ALSK,N
Y,ALT,"Altimmune, Inc. - Common Stock",Q,G,N,100,N,N,ALT,N
Y,ALTM,Altus Midstream Company - Class A Common Stock,Q,G,N,100,N,N,ALTM,N
